ts	label	median_p99_ms	runs	max_fail	max_chkfail	all_p99	overrides
2026-05-31T02:22:17Z	inc_off_1	0.5695	2	0	0	0.5835993600000003,0.5554548000000002	IMG=rinha-incoming:test
2026-05-31T02:27:10Z	inc_on_2	0.5284	2	0	0	0.53509546,0.5217191999999999	IMG=rinha-incoming:test INCOMING=pin
2026-05-31T02:31:58Z	inc_on_3	0.5051	2	0	0	0.50613234,0.5041133200000002	IMG=rinha-incoming:test INCOMING=pin
2026-05-31T02:36:45Z	inc_off_4	0.4635	2	0	0	0.4584551599999999,0.46847201000000005	IMG=rinha-incoming:test
2026-05-31T02:41:35Z	inc_off_5	0.4776	2	0	0	0.47898143,0.47625255	IMG=rinha-incoming:test
2026-05-31T02:46:23Z	inc_on_6	0.4715	2	0	0	0.47118087000000003,0.47178217000000006	IMG=rinha-incoming:test INCOMING=pin
2026-05-31T02:51:12Z	inc_on_7	0.4963	2	0	0	0.48090264,0.5117635600000002	IMG=rinha-incoming:test INCOMING=pin
2026-05-31T02:56:00Z	inc_off_8	0.5155	2	0	0	0.51866057,0.51232991	IMG=rinha-incoming:test
2026-05-31T03:00:48Z	inc_off_9	0.4959	2	0	0	0.49682016,0.4950739399999997	IMG=rinha-incoming:test
